lat,lon,avg_score
38.67,39.67,0.5665
39.33,41.0,0.57033
38.67,41.0,0.60827
39.0,41.33,0.61063
39.0,40.67,0.602
39.33,41.33,0.56958
39.33,40.67,0.54888
38.67,41.33,0.60706
38.67,40.67,0.59989
39.33,42.0,0.60161
38.67,42.0,0.62674
39.0,42.33,0.62262
39.0,41.67,0.62575
39.33,42.33,0.59114
39.33,41.67,0.59171
38.67,42.33,0.62254
38.67,41.67,0.6213
39.33,43.0,0.56281
38.67,43.0,0.60091
39.0,43.33,0.57463
39.0,42.67,0.58795
39.33,43.33,0.54982
39.33,42.67,0.5702
38.67,43.33,0.59711
38.67,42.67,0.60893
39.33,44.0,0.5133
38.67,44.0,0.56754
39.0,43.67,0.54839
39.33,43.67,0.51933
38.67,43.67,0.57722
40.0,26.33,0.39047
40.33,26.33,0.3555
39.67,26.33,0.40237
40.33,27.0,0.29564
39.67,27.0,0.32946
40.0,27.33,0.29849
40.0,26.67,0.32524
40.33,27.33,0.27683
40.33,26.67,0.31056
39.67,27.33,0.31684
39.67,26.67,0.35182
40.33,28.0,0.21654
39.67,28.0,0.25862
40.0,28.33,0.22767
40.0,27.67,0.23896
40.33,28.33,0.21189
39.67,28.33,0.2626
39.67,27.67,0.27359
40.33,29.0,0.20067
39.67,29.0,0.25155
40.0,29.33,0.22108
40.0,28.67,0.22481
40.33,29.33,0.19283
40.33,28.67,0.19871
39.67,29.33,0.25369
39.67,28.67,0.25561
40.33,30.0,0.18628
39.67,30.0,0.24637
40.0,30.33,0.21079
40.0,29.67,0.20527
40.33,30.33,0.19356
40.33,29.67,0.18804
39.67,30.33,0.2644
39.67,29.67,0.25425
40.33,31.0,0.24051
39.67,31.0,0.30638
40.0,31.33,0.27894
40.0,30.67,0.25754
40.33,31.33,0.25112
40.33,30.67,0.22521
39.67,31.33,0.32694
39.67,30.67,0.29983
40.33,32.0,0.31129
39.67,32.0,0.37756
40.0,32.33,0.35392
40.0,31.67,0.33561
40.33,32.33,0.31573
40.33,31.67,0.29336
39.67,32.33,0.39132
39.67,31.67,0.36963
40.33,33.0,0.35702
39.67,33.0,0.42165
40.0,33.33,0.39835
40.0,32.67,0.39021
40.33,33.33,0.35337
40.33,32.67,0.34333
39.67,33.33,0.4269
39.67,32.67,0.41777
40.33,34.0,0.3624
39.67,34.0,0.42615
40.0,34.33,0.39591
40.0,33.67,0.40332
40.33,34.33,0.34764
40.33,33.67,0.35609
39.67,34.33,0.42068
39.67,33.67,0.42902
40.33,35.0,0.30427
39.67,35.0,0.37162
40.0,35.33,0.32353
40.0,34.67,0.34934
40.33,35.33,0.28004
40.33,34.67,0.31282
39.67,35.33,0.36015
39.67,34.67,0.38837
40.33,36.0,0.20106
39.67,36.0,0.27958
40.0,36.33,0.21225
40.0,35.67,0.2432
40.33,36.33,0.18232
40.33,35.67,0.2207
39.67,36.33,0.27473
39.67,35.67,0.30725
40.33,37.0,0.11321
39.67,37.0,0.20031
40.0,37.33,0.12492
40.0,36.67,0.13858
40.33,37.33,0.11205
40.33,36.67,0.13068
39.67,37.33,0.21431
39.67,36.67,0.22864
40.33,38.0,0.10004
39.67,38.0,0.19434
40.0,38.33,0.12984
40.0,37.67,0.12543
40.33,38.33,0.10275
40.33,37.67,0.10156
39.67,38.33,0.21163
39.67,37.67,0.20814
40.33,39.0,0.11953
39.67,39.0,0.21842
40.0,39.33,0.16321
40.0,38.67,0.15199
40.33,39.33,0.12251
40.33,38.67,0.11213
39.67,39.33,0.23853
39.67,38.67,0.22419
40.33,40.0,0.16317
39.67,40.0,0.275
40.0,40.33,0.23137
40.0,39.67,0.20164
40.33,40.33,0.17574
40.33,39.67,0.14808
39.67,40.33,0.30836
39.67,39.67,0.272
40.33,41.0,0.28714
39.67,41.0,0.4058
40.0,41.33,0.38502
40.0,40.67,0.34719
40.33,41.33,0.29281
40.33,40.67,0.24631
39.67,41.33,0.42419
39.67,40.67,0.38235
40.33,42.0,0.38943
39.67,42.0,0.4851
40.0,42.33,0.46767
40.0,41.67,0.45367
40.33,42.33,0.3814
40.33,41.67,0.35329
39.67,42.33,0.48295
39.67,41.67,0.47117
40.33,43.0,0.39547
39.67,43.0,0.4704
40.0,43.33,0.44106
40.0,42.67,0.46139
40.33,43.33,0.36419
40.33,42.67,0.38663
39.67,43.33,0.44996
39.67,42.67,0.47568
39.67,44.0,0.37294
40.0,44.33,0.32486
40.0,43.67,0.35661
39.67,44.33,0.36069
39.67,43.67,0.39679
40.67,26.33,0.26722
41.33,27.0,0.20185
40.67,27.0,0.2308
41.0,27.33,0.20654
41.0,26.67,0.22615
41.33,27.33,0.18574
41.33,26.67,0.20545
40.67,26.67,0.24276
41.33,28.0,0.13038
41.33,28.33,0.12957
41.33,27.67,0.14666
41.0,29.33,0.09455
41.0,28.67,0.10045
41.33,28.67,0.11414
40.67,29.33,0.11779
40.67,30.0,0.10134
41.0,30.33,0.07994
41.0,29.67,0.07974
40.67,30.33,0.11251
40.67,29.67,0.11078
40.67,31.0,0.13177
41.0,31.33,0.11153
41.0,30.67,0.10015
40.67,31.33,0.14885
40.67,30.67,0.13031
41.33,32.0,0.14549
40.67,32.0,0.18035
41.0,32.33,0.15436
41.0,31.67,0.14425
41.33,32.33,0.15061
41.33,31.67,0.14205
40.67,32.33,0.19446
40.67,31.67,0.17796
41.33,33.0,0.16218
40.67,33.0,0.21032
41.0,33.33,0.17704
41.0,32.67,0.17266
41.33,33.33,0.16364
41.33,32.67,0.16106
40.67,33.33,0.22007
40.67,32.67,0.21307
41.33,34.0,0.16552
40.67,34.0,0.215
41.0,34.33,0.17938
41.0,33.67,0.18085
41.33,34.33,0.16429
41.33,33.67,0.16494
40.67,34.33,0.21812
40.67,33.67,0.22229
41.33,35.0,0.14778
40.67,35.0,0.18206
41.0,35.33,0.14507
41.0,34.67,0.16288
41.33,35.33,0.13727
41.33,34.67,0.15224
40.67,35.33,0.16986
40.67,34.67,0.19681
41.33,36.0,0.0813
40.67,36.0,0.08993
41.0,36.33,0.0565
41.0,35.67,0.07445
41.33,35.67,0.10002
40.67,36.33,0.08811
40.67,35.67,0.11699
40.67,37.0,0.04492
41.0,37.33,0.0242
41.0,36.67,0.0374
41.33,36.67,0.06404
40.67,37.33,0.03954
40.67,36.67,0.05745
40.67,38.0,-0.00845
41.0,37.67,-0.02578
40.67,38.33,-0.00134
40.67,37.67,0.00956
40.67,39.0,-0.02076
41.0,39.33,-0.05669
40.67,39.33,-0.0112
40.67,38.67,-0.00961
40.67,40.0,-0.02644
41.0,39.67,-0.07171
40.67,40.33,-0.01329
40.67,39.67,-0.0121
40.67,41.0,-0.02003
41.0,41.33,-0.08947
41.0,40.67,-0.10985
41.33,41.33,-0.0476
40.67,41.33,0.03112
40.67,40.67,-0.00268
41.33,42.0,0.03886
40.67,42.0,0.12703
41.0,42.33,0.0795
41.0,41.67,0.03936
41.33,42.33,0.05639
41.33,41.67,0.01641
40.67,42.33,0.1587
40.67,41.67,0.1116
41.33,43.0,0.1059
40.67,43.0,0.189
41.0,43.33,0.13662
41.0,42.67,0.13976
41.33,42.67,0.09203
40.67,43.33,0.18179
40.67,42.67,0.19139
40.67,43.67,0.14699
41.67,27.0,0.14209
42.0,27.33,0.13007
41.67,27.33,0.14153
41.67,26.67,0.14671
41.67,28.0,0.13369
41.67,27.67,0.13552
41.67,32.33,0.1195
41.67,33.0,0.10387
42.0,33.33,0.08996
41.67,33.33,0.10624
41.67,32.67,0.11096
41.67,34.0,0.10232
41.67,34.33,0.10799
41.67,33.67,0.10542
41.67,35.0,0.11304
41.67,35.33,0.11715
41.67,34.67,0.11265
41.67,36.0,0.1314
