lat,lon,score_202001,score_202002,score_202003,score_202004,score_202005,score_202006,score_202007,score_202008,score_202009,score_202010,score_202011,score_202012,score_202101,score_202102,score_202103,score_202104,score_202105,score_202106,score_202107,score_202108,score_202109,score_202110,score_202111,score_202112,score_202201,score_202202,score_202203,score_202204,score_202205,score_202206,score_202207,score_202208,score_202209,score_202210,score_202211,score_202212,score_202301,score_202302,score_202303,score_202304,score_202305,score_202306,score_202307,score_202308,score_202309,score_202310,score_202311,score_202312,avg_score
39.0,28.0,0.37042,0.13094,0.23701,0.49374,0.29102,0.18132,0.83431,0.83329,0.40669,0.23488,0.7183,0.40717,0.08133,0.1181,-0.13637,0.14508,0.40498,0.23457,0.78682,1.00501,0.65947,0.60664,0.47077,0.1306,0.39742,-0.09656,0.11292,0.36671,0.90975,0.51355,0.89684,0.41129,0.60296,0.57514,0.49798,0.18516,0.1582,0.27894,0.22262,0.11971,-0.06113,0.37695,0.85911,0.50776,0.53938,0.58604,-0.0034,0.30237,0.39387
39.0,29.0,0.38672,0.19864,0.37418,0.63298,0.14339,0.09217,0.82728,0.8077,0.36591,0.27573,0.72451,0.57724,0.1051,0.29018,-0.14975,0.09342,0.38513,0.02857,0.6629,0.95538,0.54124,0.69032,0.56558,0.15505,0.4056,0.10771,0.16473,0.3501,0.71114,0.36798,0.87426,0.2559,0.57936,0.57751,0.64387,0.32545,0.39669,0.27032,0.2005,0.03956,-0.13309,0.3203,0.75002,0.62453,0.51974,0.62297,-0.04375,0.43227,0.39778
39.0,30.0,0.51625,0.26552,0.42572,0.66996,0.22787,0.08701,0.88211,0.80974,0.4653,0.30944,0.75245,0.64623,0.16537,0.37335,-0.01686,0.12847,0.42148,0.03605,0.70024,0.95641,0.51278,0.73527,0.60359,0.36487,0.36121,0.14289,0.16887,0.43281,0.64249,0.33488,0.89372,0.36342,0.65839,0.47586,0.74339,0.31821,0.51796,0.25772,0.22851,0.21691,-0.04759,0.35589,0.70647,0.74416,0.54779,0.66257,0.1449,0.485,0.44573
39.0,31.0,0.42538,0.17787,0.70979,0.73713,0.36201,0.22897,0.93502,0.7261,0.52622,0.37998,0.81629,0.65747,0.20345,0.52351,0.10983,0.23652,0.51697,0.06517,0.75001,0.94115,0.56247,0.82485,0.66602,0.37518,0.28148,0.09476,0.40235,0.51227,0.68814,0.42031,0.85821,0.46509,0.70916,0.47894,0.80842,0.25607,0.63559,0.34637,0.48488,0.40226,0.23742,0.45924,0.75708,0.81792,0.60955,0.67662,0.26723,0.55188,0.51414
39.0,32.0,0.41262,0.07869,0.76387,0.76455,0.58938,0.39022,0.94707,0.8193,0.6788,0.55339,0.83741,0.63586,0.16075,0.63663,0.20031,0.29308,0.63229,0.16976,0.87625,0.90809,0.64431,0.85202,0.76217,0.41653,0.25975,0.03153,0.4094,0.6567,0.6215,0.42735,0.84506,0.58001,0.75521,0.54665,0.82329,0.27117,0.70107,0.25722,0.46462,0.51494,0.35609,0.40919,0.84221,0.94336,0.6915,0.70341,0.38354,0.64174,0.56583
39.0,33.0,0.43848,0.00834,0.7546,0.82489,0.63627,0.3958,0.95122,0.90149,0.63068,0.6302,0.82995,0.64663,0.25439,0.65888,0.16743,0.32085,0.61256,0.20318,0.88626,0.82799,0.64801,0.8323,0.70541,0.44205,0.16975,0.21557,0.36349,0.6741,0.45079,0.50889,0.84565,0.66174,0.74374,0.59689,0.82656,0.27334,0.61616,0.23291,0.38787,0.59042,0.46372,0.36683,0.89424,1.02628,0.75367,0.66552,0.44548,0.60815,0.57478
39.0,34.0,0.30105,-0.10721,0.52803,0.74032,0.63407,0.4113,0.96523,0.95706,0.68986,0.73265,0.82413,0.70261,0.36392,0.64347,0.1184,0.30611,0.54909,0.28985,0.89846,0.72762,0.64283,0.82401,0.66159,0.5391,0.29965,0.20149,0.32967,0.65812,0.30975,0.53092,0.83837,0.79125,0.76114,0.6411,0.70151,0.30431,0.72391,0.13692,0.41232,0.56618,0.53421,0.35998,0.90907,1.064,0.85605,0.59301,0.59127,0.66096,0.57747
39.0,35.0,0.19346,0.17197,0.34893,0.63089,0.59381,0.40964,0.95277,1.01185,0.76459,0.82142,0.7763,0.71567,0.40354,0.65373,0.06618,0.14026,0.45949,0.33816,0.83768,0.66053,0.62209,0.79607,0.57688,0.63327,0.20246,0.26084,0.15184,0.48613,0.22466,0.56725,0.84708,0.92852,0.72472,0.69493,0.62318,0.30753,0.83083,0.46768,0.34049,0.37869,0.62991,0.29532,0.89742,1.06885,0.89942,0.53641,0.56692,0.61176,0.56504
39.0,36.0,0.23875,0.61511,0.14824,0.5351,0.48378,0.37106,0.91333,0.92014,0.74908,0.88046,0.75484,0.61324,0.46827,0.8178,0.02963,0.15703,0.44062,0.45069,0.78746,0.62061,0.61084,0.71565,0.60908,0.56722,0.44786,0.4484,0.25234,0.34734,0.00207,0.52206,0.81593,0.88014,0.62385,0.70503,0.44572,0.29566,0.75055,0.75322,0.20706,0.22949,0.5275,0.29444,0.81618,1.03617,0.90429,0.46875,0.54421,0.49923,0.54824
39.0,37.0,0.40457,0.48617,0.15037,0.52198,0.45431,0.46403,0.91703,0.96289,0.75466,0.93155,0.70631,0.51928,0.40662,0.92219,0.18767,0.20305,0.61628,0.60787,0.88395,0.67946,0.73368,0.7546,0.58596,0.55997,0.50727,0.4407,0.74868,0.34319,0.14889,0.5696,0.95174,0.93453,0.65247,0.70532,0.28353,0.16657,0.67225,0.81977,0.04046,0.12152,0.48184,0.45894,0.85739,1.03705,0.93752,0.45796,0.31632,0.29391,0.57004
39.0,38.0,0.46927,0.52614,0.19115,0.35585,0.38537,0.57122,0.82118,0.94978,0.76562,0.92669,0.6006,0.5296,0.50188,0.90427,0.26941,0.28791,0.72836,0.67556,0.82426,0.65369,0.77674,0.78676,0.5988,0.32008,0.31229,0.34847,0.47406,0.35899,0.1184,0.59478,0.96086,0.84545,0.6675,0.70188,0.23834,0.30904,0.60625,0.80922,-0.10107,-0.01006,0.46302,0.51976,0.88269,1.00278,0.98271,0.46558,0.22814,0.20709,0.55013
39.0,39.0,0.60172,0.50476,0.06144,0.22015,0.20588,0.54622,0.75089,0.88999,0.75939,0.91051,0.51812,0.59883,0.51901,0.76708,0.30393,0.2789,0.73066,0.73013,0.69748,0.58716,0.77841,0.7481,0.52759,0.44107,0.35683,0.47929,0.28541,0.32376,-0.08297,0.63767,0.93445,0.85344,0.68862,0.68155,0.2449,0.36396,0.71189,0.75772,-0.1316,-0.09601,0.3572,0.5085,0.82264,0.95687,0.96613,0.39454,0.20749,0.21869,0.5233
39.0,40.0,0.64344,0.48661,0.35279,0.14541,0.25901,0.67146,0.6994,0.84463,0.75561,0.95983,0.53759,0.66206,0.61025,0.6533,0.69893,0.64528,0.81448,0.86007,0.71442,0.63266,0.86129,0.69437,0.56746,0.66133,0.73452,0.67598,0.58683,0.33673,0.01562,0.77537,0.96253,0.92266,0.7255,0.72736,0.38612,0.42365,0.79417,0.80445,-0.15152,-0.04945,0.37359,0.66281,0.85395,0.89285,0.89081,0.44745,0.2608,0.37272,0.60119
39.0,41.0,0.88757,0.84294,0.45387,0.07288,0.32571,0.62374,0.61644,0.7657,0.75755,0.96213,0.50106,0.70293,0.78166,0.78211,0.78027,0.70207,0.7329,0.8737,0.63894,0.66406,0.8707,0.68863,0.59088,0.67095,0.92715,0.86128,0.75677,0.44453,0.00614,0.73196,0.95759,0.96327,0.67452,0.72875,0.43908,0.42995,0.75871,0.89204,0.05856,0.00451,0.33224,0.6336,0.77902,0.79316,0.72297,0.41423,0.30958,0.43951,0.63226
39.0,42.0,0.9232,0.80896,0.5958,-0.15705,0.36994,0.67083,0.56243,0.77431,0.82841,0.9399,0.59684,0.58423,0.78328,0.69327,0.45523,0.55992,0.68763,0.89577,0.67859,0.71403,0.89248,0.71777,0.60767,0.7893,0.93449,0.94127,0.8138,0.39073,0.06156,0.81629,0.9509,0.97386,0.72699,0.6892,0.58779,0.54519,0.70073,0.86811,0.22434,0.12758,0.3651,0.77665,0.746,0.74015,0.64983,0.41317,0.49447,0.54082,0.64691
39.0,43.0,0.95295,0.472,0.1841,-0.3023,0.31532,0.62306,0.45508,0.63149,0.81603,0.82514,0.51182,0.50516,0.80283,0.52999,-0.00791,0.50154,0.49741,0.8775,0.58376,0.69674,0.89606,0.65853,0.56303,1.01732,0.89942,0.96551,0.73148,0.44585,0.06925,0.81175,0.89976,0.90337,0.7549,0.58186,0.54384,0.40541,0.81916,0.92415,0.44753,0.11576,0.35349,0.60961,0.63823,0.68851,0.48351,0.24856,0.36182,0.54632,0.58033
39.0,44.0,0.79107,0.28394,0.28153,-0.1387,0.34433,0.52597,0.4286,0.61015,0.82585,0.75011,0.50291,0.44529,0.53547,0.53809,0.12902,0.5573,0.33444,0.81343,0.56001,0.74367,0.93303,0.6385,0.69812,0.74955,0.56686,0.57615,0.19993,0.32087,0.10134,0.75381,0.86214,0.91909,0.81168,0.58308,0.77425,0.19863,0.65922,0.61021,0.49921,0.38623,0.35674,0.53038,0.57382,0.76751,0.47756,0.35594,0.68716,0.66121,0.54406
40.0,27.0,0.13928,0.2555,0.22544,0.45944,0.27154,0.21132,0.82834,0.6888,0.26849,-0.01002,0.21667,0.10325,-0.00363,0.11841,0.05184,0.30477,0.08242,0.28548,0.70581,0.81301,0.56857,0.13523,-0.03097,0.07214,0.45955,0.00698,0.23311,0.42227,0.84898,0.62738,0.74869,0.22339,0.39695,0.52088,0.04444,-0.01389,-0.09056,0.44089,0.24004,0.25676,0.18935,0.53458,0.75791,0.29725,0.33862,0.47807,0.07334,0.01169,0.3085
40.0,28.0,-0.056,0.13831,0.05239,0.42279,0.22424,0.21097,0.71603,0.59988,0.08594,-0.10867,0.22633,0.1574,-0.21055,-0.00321,-0.16308,0.1667,0.04272,0.21934,0.61994,0.77504,0.46725,0.22084,0.03354,-0.04386,0.23003,-0.16584,0.07528,0.18229,0.8393,0.52475,0.69498,0.25589,0.2759,0.34246,0.11738,-0.02175,-0.01879,0.21283,0.04614,0.15075,0.11838,0.4562,0.59348,0.16822,0.36121,0.25883,-0.20199,0.04028,0.21522
40.0,29.0,0.03323,0.08621,0.01308,0.56733,0.09252,0.11502,0.57034,0.6806,-0.05563,0.01283,0.43562,0.34744,-0.14885,0.04256,-0.21665,0.03216,0.16095,0.02846,0.47748,0.79341,0.42426,0.34853,0.3261,0.18609,0.18973,-0.09145,-0.0839,0.16705,0.86851,0.29156,0.71214,0.09319,0.25823,0.27562,0.35611,0.21067,0.24972,0.05369,0.05361,0.03262,-0.09717,0.34321,0.54732,0.24566,0.36607,0.31664,-0.1763,0.23707,0.22443
