lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
41.06,29.2,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.23,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.26,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.29,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.32,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.35,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.38,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.41,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.44,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.47,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.5,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.53,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.56,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.59,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.62,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.65,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.68,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.71,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,29.74,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,29.77,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,29.8,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,29.83,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,29.86,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.08,28.0,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.03,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.06,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.09,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.12,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.15,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.18,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.21,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.24,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.27,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.3,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.33,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.36,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.39,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.42,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.08,28.45,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.48,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.51,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.54,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.57,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.6,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.63,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.66,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.69,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.72,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.75,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.78,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
